City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2015-06-04,25.14,,6.01,18.73,24.74,,6.01,38.05,38.52,0.0,0.0,0.0,192.0,Moderate
Ahmedabad,2015-06-06,89.6,,6.59,19.84,25.9,,6.59,48.05,44.78,0.0,0.0,0.0,223.0,Poor
Ahmedabad,2015-06-07,80.69,,6.86,16.07,22.25,,6.86,39.85,32.65,0.0,0.0,0.0,192.0,Moderate
Ahmedabad,2015-06-08,44.75,,7.76,16.53,24.29,,7.76,9.89,8.07,0.0,0.0,0.0,191.0,Moderate
Ahmedabad,2015-06-09,38.11,,7.41,11.62,19.03,,7.41,3.13,6.69,2.5,5.93,0.74,184.0,Moderate
Ahmedabad,2015-06-10,45.5,,8.56,15.59,24.15,,8.56,0.76,3.82,5.09,8.52,1.82,220.0,Poor
Ahmedabad,2015-06-11,36.98,,8.21,11.52,19.74,,8.21,0.52,5.17,3.63,8.16,1.33,215.0,Poor
Ahmedabad,2015-06-12,43.58,,8.26,13.33,21.58,,8.26,1.02,7.56,3.59,6.79,1.5,226.0,Poor
Ahmedabad,2015-06-14,38.06,,8.67,18.57,27.25,,8.67,1.05,4.63,2.85,5.12,0.74,216.0,Poor
Ahmedabad,2015-06-15,45.41,,9.35,20.55,29.9,,9.35,0.74,4.5,2.83,7.18,0.82,237.0,Poor
Ahmedabad,2015-06-16,37.71,,8.54,16.26,24.8,,8.54,0.87,4.6,2.52,7.61,0.81,198.0,Moderate
Ahmedabad,2015-06-17,32.37,,7.53,14.36,21.89,,7.53,2.17,12.17,1.88,7.92,0.69,195.0,Moderate
Ahmedabad,2015-06-18,34.74,,7.59,13.51,21.11,,7.59,4.11,12.22,1.82,6.19,0.47,187.0,Moderate
Ahmedabad,2015-06-19,32.56,,7.34,13.91,21.25,,7.34,4.04,11.85,2.55,9.3,0.97,181.0,Moderate
Ahmedabad,2015-06-20,29.28,,7.55,11.68,19.23,,7.55,4.01,12.64,1.64,7.0,0.62,179.0,Moderate
Ahmedabad,2015-06-21,20.46,,7.15,10.61,17.76,,7.15,5.62,12.7,1.26,5.17,0.32,188.0,Moderate
Ahmedabad,2015-06-22,26.07,,7.99,11.07,19.06,,7.99,4.1,10.57,1.5,6.9,0.63,190.0,Moderate
Ahmedabad,2015-06-23,21.43,,7.45,11.16,18.62,,7.45,4.99,7.38,1.4,6.69,0.76,185.0,Moderate
Ahmedabad,2015-06-24,11.91,,7.34,10.1,17.44,,7.34,10.86,5.47,1.3,12.23,0.73,189.0,Moderate
Ahmedabad,2015-06-25,57.75,,8.68,9.68,18.36,,8.68,12.28,3.06,1.98,6.51,0.74,196.0,Moderate
Ahmedabad,2015-06-26,66.39,,8.58,12.79,21.36,,8.58,11.09,4.96,1.76,6.18,0.57,201.0,Poor
Ahmedabad,2015-06-27,62.61,,9.15,9.83,18.98,,9.15,12.31,6.44,1.87,5.47,0.37,231.0,Poor
Ahmedabad,2015-06-28,47.5,,8.07,9.53,17.59,,8.07,13.91,7.28,1.34,3.97,0.12,196.0,Moderate
Ahmedabad,2015-06-29,111.8,,9.23,11.51,20.74,,9.23,5.27,5.99,1.84,5.69,0.28,220.0,Poor
Ahmedabad,2015-06-30,30.0,,8.87,13.59,22.64,,8.87,8.09,6.31,1.32,4.59,0.16,244.0,Poor
Ahmedabad,2015-07-01,4.66,,9.01,10.9,20.36,,9.01,7.31,6.38,1.27,3.94,0.13,223.0,Poor
Ahmedabad,2015-07-02,48.72,,9.56,11.94,21.5,,9.56,5.72,6.61,1.77,4.96,0.39,230.0,Poor
Ahmedabad,2015-07-03,49.7,,9.43,9.81,19.23,,9.43,6.78,6.42,2.0,4.79,0.31,243.0,Poor
Ahmedabad,2015-07-04,48.1,,8.03,9.53,17.57,,8.03,9.33,7.6,1.68,4.41,0.18,215.0,Poor
Ahmedabad,2015-07-05,47.43,,8.11,9.45,17.56,,8.11,7.93,7.08,2.1,3.6,0.13,199.0,Moderate
Ahmedabad,2015-07-06,51.74,,8.91,12.38,21.28,,8.91,10.05,5.78,2.15,3.64,0.27,200.0,Moderate
Ahmedabad,2015-07-07,42.68,,9.74,11.08,20.82,,9.74,10.87,4.44,1.62,4.96,0.39,226.0,Poor
Ahmedabad,2015-07-08,38.45,,10.55,7.8,18.35,,10.55,10.28,3.24,2.46,4.79,0.41,241.0,Poor
Ahmedabad,2015-07-09,46.69,,11.48,0.17,11.64,,11.48,10.25,5.76,1.77,4.34,0.15,222.0,Poor
Ahmedabad,2015-07-10,55.27,,11.55,0.12,11.66,,11.55,12.7,6.55,1.69,4.17,0.22,223.0,Poor
Ahmedabad,2015-07-11,149.03,,11.49,0.16,11.65,,11.49,10.07,7.27,1.71,5.72,0.19,248.0,Poor
Ahmedabad,2015-07-13,111.77,,11.3,0.24,11.53,,11.3,7.73,4.67,1.72,4.52,0.16,232.0,Poor
Ahmedabad,2015-07-15,51.35,,8.0,2.69,10.67,,8.0,10.0,5.76,1.54,4.32,0.35,223.0,Poor
Ahmedabad,2015-07-16,65.37,,0.64,8.07,8.57,,0.64,16.31,8.02,1.63,4.34,0.28,105.0,Moderate
Ahmedabad,2015-07-17,56.28,,0.6,8.02,8.51,,0.6,18.93,6.2,1.52,3.74,0.29,101.0,Moderate
Ahmedabad,2015-07-18,48.17,,0.65,8.0,8.55,,0.65,18.99,7.97,1.23,4.74,0.12,93.0,Satisfactory
Ahmedabad,2015-07-19,33.56,,0.72,7.89,8.56,,0.72,11.28,10.18,0.61,3.85,0.08,67.0,Satisfactory
Ahmedabad,2015-07-20,31.3,,0.55,8.1,8.49,,0.55,10.29,7.44,0.52,2.31,0.06,60.0,Satisfactory
Ahmedabad,2015-07-22,57.11,,0.55,8.28,8.42,,0.55,14.58,2.6,2.81,14.53,1.87,90.0,Satisfactory
Ahmedabad,2015-07-23,34.72,,0.1,9.73,7.88,,0.1,13.62,4.87,1.44,5.22,0.38,78.0,Satisfactory
Ahmedabad,2015-07-24,29.22,,0.06,9.57,7.77,,0.06,13.58,5.08,1.37,3.65,0.32,48.0,Good
Ahmedabad,2015-07-25,29.79,,0.14,8.64,7.97,,0.14,15.11,5.34,0.36,1.05,0.14,53.0,Satisfactory
Ahmedabad,2015-07-26,59.95,,0.18,8.78,8.16,,0.18,11.52,2.79,0.52,1.23,0.22,91.0,Satisfactory
Ahmedabad,2015-07-27,19.2,,1.52,9.45,9.74,,1.52,11.23,4.61,1.29,3.29,0.15,70.0,Satisfactory
Ahmedabad,2015-07-28,19.52,,5.89,11.26,17.15,,5.89,11.56,4.4,0.58,1.44,0.07,157.0,Moderate
Ahmedabad,2015-07-29,35.16,,5.75,10.89,16.64,,5.75,14.7,3.67,1.61,3.71,0.48,158.0,Moderate
Ahmedabad,2015-07-30,33.03,,7.01,10.58,17.58,,7.01,12.95,3.53,1.65,3.96,0.37,169.0,Moderate
Ahmedabad,2015-07-31,40.95,,6.92,10.47,17.39,,6.92,19.8,3.38,2.05,5.08,0.44,174.0,Moderate
Ahmedabad,2015-08-01,40.29,,6.74,10.52,17.26,,6.74,8.27,3.57,1.85,4.34,0.39,173.0,Moderate
Ahmedabad,2015-08-02,41.16,,6.91,10.51,17.42,,6.91,13.48,3.69,1.8,4.23,0.33,172.0,Moderate
Ahmedabad,2015-08-03,36.12,,7.21,11.56,17.07,,7.21,13.62,6.08,1.67,2.85,0.11,190.0,Moderate
Ahmedabad,2015-08-04,28.51,,6.69,20.52,27.21,,6.69,5.69,7.65,1.36,2.17,0.09,171.0,Moderate
Ahmedabad,2015-08-05,31.59,,6.99,20.42,27.41,,6.99,9.23,7.9,0.72,2.29,0.12,168.0,Moderate
Ahmedabad,2015-08-06,42.56,,7.17,20.4,27.57,,7.17,6.28,9.86,1.36,2.94,0.28,172.0,Moderate
Ahmedabad,2015-08-07,48.12,,7.14,20.3,27.45,,7.14,6.77,12.78,1.22,3.39,0.26,173.0,Moderate
Ahmedabad,2015-08-08,37.09,,7.22,20.21,27.42,,7.22,8.66,7.94,0.86,2.98,0.16,175.0,Moderate
Ahmedabad,2015-08-09,33.4,,7.4,20.09,27.5,,7.4,9.95,8.39,0.8,2.13,0.07,179.0,Moderate
Ahmedabad,2015-08-10,38.64,,7.35,20.21,27.55,,7.35,9.74,6.28,1.31,2.8,0.27,174.0,Moderate
Ahmedabad,2015-08-11,40.49,,7.48,20.23,27.71,,7.48,8.92,21.51,1.17,3.0,0.11,176.0,Moderate
Ahmedabad,2015-08-12,41.37,,7.47,20.2,27.68,,7.47,11.73,19.8,1.82,2.85,0.17,179.0,Moderate
Ahmedabad,2015-08-13,44.56,,7.49,20.06,27.55,,7.49,11.23,22.77,1.38,3.36,0.44,175.0,Moderate
Ahmedabad,2015-08-14,65.68,,7.57,19.94,27.51,,7.57,8.21,30.21,3.62,5.79,1.0,177.0,Moderate
Ahmedabad,2015-08-15,33.34,,7.3,20.27,27.57,,7.3,6.41,32.95,0.0,0.0,0.02,175.0,Moderate
Ahmedabad,2015-08-16,39.17,,7.35,20.24,27.58,,7.35,9.17,26.64,0.79,0.76,0.14,174.0,Moderate
Ahmedabad,2015-08-17,34.0,,7.41,20.1,27.51,,7.41,9.64,17.17,1.21,1.8,0.15,179.0,Moderate
Ahmedabad,2015-08-18,36.38,,7.31,20.14,27.45,,7.31,10.65,13.35,2.0,4.33,0.35,177.0,Moderate
Ahmedabad,2015-08-19,38.35,,7.41,20.16,27.57,,7.41,9.33,18.59,1.63,3.74,0.35,180.0,Moderate
Ahmedabad,2015-09-10,50.24,,9.46,12.31,21.77,,9.46,11.63,13.61,0.0,3.42,0.29,226.0,Poor
Ahmedabad,2015-09-12,46.93,,7.14,11.47,18.61,,7.14,7.92,19.03,0.0,3.08,0.12,209.0,Poor
Ahmedabad,2015-09-13,43.01,,6.82,9.96,16.78,,6.82,11.58,20.59,0.0,2.5,0.13,179.0,Moderate
Ahmedabad,2015-09-14,42.06,,8.43,11.35,19.78,,8.43,11.63,28.09,0.0,3.19,0.2,197.0,Moderate
Ahmedabad,2015-09-15,44.94,,7.14,10.94,18.07,,7.14,5.85,59.38,0.0,2.21,0.24,229.0,Poor
Ahmedabad,2015-09-16,29.58,,6.61,9.94,16.55,,6.61,8.82,42.9,0.0,1.87,0.13,170.0,Moderate
Ahmedabad,2015-09-17,32.15,,6.5,9.7,16.2,,6.5,9.2,39.02,0.0,2.73,0.19,164.0,Moderate
Ahmedabad,2015-09-18,36.33,,7.68,12.88,20.56,,7.68,8.28,43.35,0.0,4.29,0.36,195.0,Moderate
Ahmedabad,2015-09-19,24.46,,8.45,10.99,19.44,,8.45,12.59,44.55,0.0,2.52,0.17,220.0,Poor
Ahmedabad,2015-09-22,59.29,,9.21,9.68,18.89,,9.21,5.98,7.69,0.0,3.24,0.19,217.0,Poor
Ahmedabad,2015-09-24,47.39,,9.26,10.48,19.74,,9.26,7.72,7.71,0.0,3.41,0.21,241.0,Poor
Ahmedabad,2015-09-25,43.88,,8.69,19.75,28.44,,8.69,4.83,11.53,0.0,3.24,0.16,244.0,Poor
Ahmedabad,2015-09-26,28.35,,9.05,13.62,22.68,,9.05,7.47,15.95,0.0,3.26,0.21,243.0,Poor
Ahmedabad,2015-09-27,3.59,,11.26,14.17,25.44,,11.26,9.6,20.38,0.0,4.02,0.46,244.0,Poor
Ahmedabad,2015-09-30,69.12,,8.85,32.41,41.26,,8.85,15.63,28.45,0.0,7.16,0.73,231.0,Poor
Ahmedabad,2015-10-04,87.18,,7.83,21.51,29.34,,7.83,6.98,23.17,5.59,17.26,2.28,230.0,Poor
Ahmedabad,2015-10-11,91.41,,5.19,23.45,28.63,,5.19,25.44,6.25,0.69,1.25,0.05,227.0,Poor
Ahmedabad,2015-10-22,64.66,,4.79,23.83,28.61,,4.79,34.4,24.76,6.24,12.04,2.24,213.0,Poor
Ahmedabad,2015-10-29,51.72,,1.89,21.15,23.04,,1.89,37.31,66.58,3.96,11.1,0.75,188.0,Moderate
Ahmedabad,2015-10-30,54.59,,2.31,18.33,20.64,,2.31,19.08,42.43,3.47,10.25,1.12,114.0,Moderate
Ahmedabad,2015-10-31,46.5,,1.22,12.1,13.32,,1.22,13.73,61.56,1.9,4.5,0.22,143.0,Moderate
Ahmedabad,2016-07-02,20.87,,9.04,7.49,16.54,,9.04,1.6,14.27,0.0,0.0,0.0,213.0,Poor
Ahmedabad,2016-07-03,35.08,,8.36,6.52,14.88,,8.36,1.63,19.44,0.0,0.0,0.0,218.0,Poor
Ahmedabad,2016-07-04,40.23,,8.68,2.79,11.47,,8.68,1.69,15.16,0.0,0.0,0.0,214.0,Poor
Ahmedabad,2016-07-05,54.25,,8.11,2.78,10.89,,8.11,1.42,18.46,0.0,0.0,0.0,207.0,Poor
Ahmedabad,2016-07-06,49.04,,7.38,1.65,9.03,,7.38,1.44,15.33,0.0,0.0,0.0,169.0,Moderate
Ahmedabad,2016-07-15,36.47,,0.98,37.13,22.38,,0.98,19.01,,0.0,0.0,0.0,72.0,Satisfactory
Ahmedabad,2016-07-16,40.9,,4.09,36.77,24.99,,4.09,17.01,,0.0,0.0,0.0,91.0,Satisfactory
Ahmedabad,2016-07-17,34.19,,6.02,34.38,20.93,,6.02,14.17,,0.0,0.0,0.0,124.0,Moderate
Ahmedabad,2016-07-18,32.92,,4.92,36.8,25.92,,4.92,14.66,,0.0,0.0,0.0,145.0,Moderate
Ahmedabad,2016-07-21,33.48,,1.94,30.88,27.87,,1.94,14.26,,0.0,0.0,0.0,114.0,Moderate
Ahmedabad,2016-07-22,30.8,,2.57,25.15,24.2,,2.57,17.02,,0.0,0.0,0.0,148.0,Moderate
Ahmedabad,2016-07-23,30.47,,1.64,38.78,36.5,,1.64,15.8,,0.0,0.01,0.0,99.0,Satisfactory
Ahmedabad,2016-07-24,34.64,,6.67,39.23,38.7,,6.67,15.07,,0.0,0.0,0.0,117.0,Moderate
Ahmedabad,2016-07-26,46.52,,3.87,33.24,33.53,,3.87,15.0,6.9,0.0,0.0,0.0,183.0,Moderate
Ahmedabad,2016-08-05,33.93,,5.06,13.41,16.13,,5.06,19.54,6.16,3.24,0.04,0.0,234.0,Poor
Ahmedabad,2016-08-14,85.1,,8.14,12.91,21.04,,8.14,14.51,12.45,2.64,9.08,1.5,240.0,Poor
Ahmedabad,2016-08-15,55.55,,8.38,13.45,21.83,,8.38,16.6,11.84,3.91,8.47,1.27,220.0,Poor
Ahmedabad,2016-08-18,37.68,,6.39,9.49,15.88,,6.39,16.15,13.7,2.5,6.9,0.92,216.0,Poor
Ahmedabad,2016-08-19,32.78,,6.08,12.1,20.94,,6.08,12.29,13.13,2.6,10.38,2.52,174.0,Moderate
Ahmedabad,2016-08-23,40.43,,7.42,10.29,23.27,,7.42,12.24,5.0,2.99,8.49,1.36,189.0,Moderate
Ahmedabad,2016-08-24,31.15,,8.91,9.94,18.86,,8.91,21.48,12.97,3.07,7.01,1.11,204.0,Poor
Ahmedabad,2016-08-25,33.76,,9.15,12.22,21.37,,9.15,17.68,8.36,2.68,8.58,1.24,207.0,Poor
Ahmedabad,2016-08-26,35.95,,10.05,9.75,19.8,,10.05,16.66,8.61,2.59,9.85,1.74,218.0,Poor
Ahmedabad,2016-08-27,58.07,,10.51,8.67,19.18,,10.51,21.2,19.87,3.49,11.59,3.3,243.0,Poor
Ahmedabad,2016-08-28,46.04,,9.72,8.75,18.46,,9.72,17.27,10.35,2.09,6.33,1.19,219.0,Poor
Ahmedabad,2016-08-29,52.27,,10.79,9.23,20.02,,10.79,19.62,9.14,4.67,8.96,1.89,247.0,Poor
Ahmedabad,2016-08-30,46.68,,10.08,9.3,19.73,,10.08,17.77,15.97,2.98,7.55,1.4,235.0,Poor
Ahmedabad,2016-08-31,44.59,,10.47,7.39,17.86,,10.47,17.62,11.2,2.88,6.65,1.0,234.0,Poor
Ahmedabad,2016-09-01,30.81,,9.36,7.86,17.22,,9.36,17.58,15.72,1.96,4.87,0.97,217.0,Poor
Ahmedabad,2016-09-02,47.67,,9.63,8.39,18.02,,9.63,16.95,18.89,2.41,6.07,1.07,222.0,Poor
Ahmedabad,2016-09-03,35.69,,9.38,8.14,18.2,,9.38,16.72,14.63,1.77,5.62,0.78,241.0,Poor
Ahmedabad,2016-09-04,36.44,,9.59,7.07,16.66,,9.59,17.76,14.99,1.53,5.32,0.59,225.0,Poor
Ahmedabad,2016-09-05,33.83,,10.14,7.82,18.27,,10.14,17.93,13.9,1.49,4.8,0.66,241.0,Poor
Ahmedabad,2016-09-06,34.23,,10.17,7.14,17.3,,10.17,18.76,13.79,1.35,3.9,0.58,237.0,Poor
Ahmedabad,2016-09-08,35.99,,9.91,8.65,18.56,,9.91,19.29,18.16,1.77,4.13,2.96,220.0,Poor
Ahmedabad,2016-09-09,37.93,,9.75,9.2,18.95,,9.75,19.07,15.42,2.23,4.58,1.11,221.0,Poor
Ahmedabad,2016-09-10,31.94,,9.5,7.84,17.34,,9.5,16.87,14.27,1.12,3.59,0.65,226.0,Poor
Ahmedabad,2016-09-11,18.04,,7.3,7.02,17.19,,7.3,15.49,19.0,0.61,2.32,0.36,208.0,Poor
Ahmedabad,2016-09-12,27.9,,9.52,9.55,21.06,,9.52,14.48,21.74,1.28,5.49,1.3,190.0,Moderate
Ahmedabad,2016-09-16,53.94,,10.01,12.54,22.55,,10.01,18.85,24.79,2.72,9.57,2.13,249.0,Poor
Ahmedabad,2016-09-17,49.34,,9.75,8.67,18.43,,9.75,15.82,26.39,2.02,6.6,0.97,213.0,Poor
Ahmedabad,2016-09-18,,,,,,,,,,,,,135.0,Moderate
Ahmedabad,2016-09-24,26.75,,9.8,6.77,16.57,,9.8,19.37,17.5,1.94,4.72,0.71,216.0,Poor
Ahmedabad,2016-09-25,34.16,,9.66,5.46,15.12,,9.66,18.59,17.44,0.63,3.06,0.47,212.0,Poor
Ahmedabad,2016-09-26,30.07,,9.82,5.73,15.55,,9.82,18.28,17.65,1.65,3.38,0.6,214.0,Poor
Ahmedabad,2016-09-27,25.54,,9.5,5.56,15.63,,9.5,15.28,16.47,1.1,2.55,0.48,222.0,Poor
Ahmedabad,2016-09-28,38.47,,10.63,5.7,16.34,,10.63,17.44,17.34,1.28,3.62,0.78,216.0,Poor
Ahmedabad,2016-09-29,42.55,,10.36,6.59,16.95,,10.36,17.85,20.24,1.28,2.99,0.24,236.0,Poor
Ahmedabad,2016-09-30,38.1,,10.2,7.04,17.24,,10.2,18.46,16.83,1.6,3.68,0.3,225.0,Poor
Ahmedabad,2016-10-01,27.22,,12.02,6.34,18.36,,12.02,17.38,12.94,1.25,5.51,0.06,231.0,Poor
Ahmedabad,2016-10-04,,,,,,,,,,,,,236.0,Poor
Ahmedabad,2016-10-10,70.34,,11.25,7.1,18.35,,11.25,12.49,20.13,0.0,0.0,0.0,232.0,Poor
Ahmedabad,2016-10-11,50.49,,10.91,5.04,15.95,,10.91,13.29,22.39,0.0,0.0,0.0,229.0,Poor
Ahmedabad,2016-10-12,42.25,,11.07,6.55,17.62,,11.07,9.61,24.3,0.0,0.0,0.0,227.0,Poor
Ahmedabad,2016-10-13,48.23,,11.09,9.01,19.25,,11.09,18.51,18.52,0.01,0.02,0.0,236.0,Poor
Ahmedabad,2016-10-19,83.57,,7.8,10.61,18.41,,7.8,19.72,30.68,3.77,15.49,5.59,213.0,Poor
Ahmedabad,2016-10-23,76.96,,6.95,9.04,16.0,,6.95,28.44,41.7,2.06,7.8,3.18,236.0,Poor
Ahmedabad,2016-10-24,73.05,,7.04,8.37,15.4,,7.04,40.0,40.57,2.35,4.96,2.44,192.0,Moderate
Ahmedabad,2016-10-25,72.52,,7.31,9.14,16.45,,7.31,28.08,32.65,1.76,5.73,3.64,230.0,Poor
Ahmedabad,2017-10-11,61.72,,,,36.6,,,,9.73,4.67,15.99,0.64,105.0,Moderate
Ahmedabad,2017-10-22,59.26,,,,28.25,,,,26.22,5.08,10.27,1.19,146.0,Moderate
Ahmedabad,2017-10-23,51.72,,,,34.62,,,,24.71,5.35,10.47,0.92,80.0,Satisfactory
Ahmedabad,2017-10-24,67.4,,,,37.53,,,,19.89,7.54,15.47,1.19,102.0,Moderate
Ahmedabad,2017-11-16,85.32,,5.06,31.48,15.88,,5.06,124.92,28.71,14.55,0.55,6.98,195.0,Moderate
Ahmedabad,2017-12-03,58.62,,5.49,61.64,34.16,,5.49,88.67,86.71,8.51,31.34,3.59,205.0,Poor
Ahmedabad,2017-12-04,68.53,,5.78,61.38,34.25,,5.78,85.69,88.35,9.43,38.61,4.86,164.0,Moderate
Ahmedabad,2017-12-05,81.38,,5.9,55.07,31.27,,5.9,58.91,39.29,11.0,41.5,16.69,187.0,Moderate
Ahmedabad,2017-12-06,56.54,,5.46,32.13,19.75,,5.46,31.81,66.39,8.81,27.96,3.73,149.0,Moderate
Ahmedabad,2017-12-07,74.08,,7.19,57.73,33.53,,7.19,45.02,40.27,15.38,53.13,9.9,215.0,Poor
Ahmedabad,2017-12-09,86.09,,5.9,72.14,39.59,,5.9,114.3,59.39,16.74,75.26,9.42,167.0,Moderate
Ahmedabad,2017-12-16,77.34,,6.33,61.41,34.68,,6.33,102.44,75.64,12.03,37.64,3.29,232.0,Poor
Ahmedabad,2017-12-17,65.93,,5.7,45.55,26.48,,5.7,99.74,105.69,9.37,36.74,3.21,174.0,Moderate
Ahmedabad,2017-12-18,66.58,,7.16,62.16,35.66,,7.16,98.89,66.87,11.34,52.45,9.93,198.0,Moderate
Ahmedabad,2017-12-21,72.04,,7.78,73.92,41.87,,7.78,114.05,73.53,15.03,58.24,7.72,246.0,Poor
Ahmedabad,2017-12-22,67.44,,5.95,62.74,35.05,,5.95,99.05,93.19,12.12,47.21,5.22,216.0,Poor
Ahmedabad,2018-01-09,66.89,,5.86,92.57,49.53,,5.86,89.53,68.56,9.0,37.96,4.21,216.0,Poor
